candidate_id,path,line,workspace,symbol,sink_kind,api,argument_summary,production_status,test_status,confidence,review_status,source_sha256
S000067,"apps/cli/src/commands/history.ts",37,apps/cli,"writeFile",filesystem write,fs.writeFile,"targetPath, html, ""utf8""",production,non-test,candidate,unreviewed,37f4b1d78aed8e9a60282ed8684c07ba6b82704a1d6fef8a1b850382d5b8b9af
S000068,"apps/cli/src/commands/kanban.test.ts",33,apps/cli,"writeFile",filesystem write,fs.writeFile,"filePath, content, ""utf8""",test,test,candidate,unreviewed,acc394f8246d778079b2035ebc7ebdaf0b042539827974677eedd4b3144dd753
S000069,"apps/cli/src/commands/kanban.test.ts",45,apps/cli,"rm",filesystem delete,fs.rm,"dir, { recursive: true, force: true }",test,test,candidate,unreviewed,acc394f8246d778079b2035ebc7ebdaf0b042539827974677eedd4b3144dd753
S000070,"apps/cli/src/commands/kanban.ts",191,apps/cli,"spawn",process execution,child_process.spawn,"getKanbanCommand(",production,non-test,candidate,unreviewed,34ce0d854e1e74af37bd75986a7524cce8e1d83590e1cc1a22e9c19ad4451fc8
S000071,"apps/cli/src/commands/kanban.ts",198,apps/cli,"spawn",process execution,child_process.spawn,"",production,non-test,candidate,unreviewed,34ce0d854e1e74af37bd75986a7524cce8e1d83590e1cc1a22e9c19ad4451fc8
S000072,"apps/cli/src/commands/kanban.ts",207,apps/cli,"spawnSync",process execution,child_process.spawnSync,"getKanbanCommand(",production,non-test,candidate,unreviewed,34ce0d854e1e74af37bd75986a7524cce8e1d83590e1cc1a22e9c19ad4451fc8
S000073,"apps/cli/src/commands/plugin.test.ts",68,apps/cli,"writeFile",filesystem write,fs.writeFile,"join(pluginRoot, filename",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000074,"apps/cli/src/commands/plugin.test.ts",102,apps/cli,"rm",filesystem delete,fs.rm,"root, { recursive: true, force: true }",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000075,"apps/cli/src/commands/plugin.test.ts",179,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000076,"apps/cli/src/commands/plugin.test.ts",286,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000077,"apps/cli/src/commands/plugin.test.ts",329,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000078,"apps/cli/src/commands/plugin.test.ts",419,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000079,"apps/cli/src/commands/plugin.test.ts",427,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000080,"apps/cli/src/commands/plugin.test.ts",454,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000081,"apps/cli/src/commands/plugin.test.ts",459,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000082,"apps/cli/src/commands/plugin.test.ts",465,apps/cli,"writeFile",filesystem write,fs.writeFile,"join(source, "".git"", ""HEAD""",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000083,"apps/cli/src/commands/plugin.test.ts",510,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000084,"apps/cli/src/commands/plugin.test.ts",552,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000085,"apps/cli/src/commands/plugin.test.ts",569,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000086,"apps/cli/src/commands/plugin.test.ts",583,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000087,"apps/cli/src/commands/plugin.test.ts",588,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000088,"apps/cli/src/commands/plugin.test.ts",594,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000089,"apps/cli/src/commands/plugin.test.ts",599,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000090,"apps/cli/src/commands/plugin.test.ts",618,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000091,"apps/cli/src/commands/plugin.test.ts",632,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000092,"apps/cli/src/commands/plugin.test.ts",637,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000093,"apps/cli/src/commands/plugin.test.ts",664,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000094,"apps/cli/src/commands/plugin.test.ts",696,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000095,"apps/cli/src/commands/plugin.test.ts",748,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000096,"apps/cli/src/commands/plugin.test.ts",765,apps/cli,"writeFile",filesystem write,fs.writeFile,"blockedDirectory, ""file"", ""utf8""",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000097,"apps/cli/src/commands/plugin.test.ts",799,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000098,"apps/cli/src/commands/plugin.test.ts",830,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000099,"apps/cli/src/commands/plugin.test.ts",860,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000100,"apps/cli/src/commands/plugin.test.ts",885,apps/cli,"writeFile",filesystem write,fs.writeFile,"settingsPath, JSON.stringify(settings, null, 2",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000101,"apps/cli/src/commands/plugin.test.ts",898,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000102,"apps/cli/src/commands/plugin.test.ts",940,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000103,"apps/cli/src/commands/plugin.test.ts",982,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000104,"apps/cli/src/commands/plugin.test.ts",1058,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,8aff2e90f288188470639ce6c8eb72d375270425906ee93c7331a8899bfdd070
S000105,"apps/cli/src/commands/schedule.test.ts",211,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,9e6e0ffa750c5d23addbca0667ad5ea4c6443348b9c60f0fa971e7db2c53df11
S000106,"apps/cli/src/commands/schedule.test.ts",323,apps/cli,"rm",filesystem delete,fs.rm,"targetPath, { force: true }",test,test,candidate,unreviewed,9e6e0ffa750c5d23addbca0667ad5ea4c6443348b9c60f0fa971e7db2c53df11
S000107,"apps/cli/src/commands/schedule.test.ts",379,apps/cli,"rm",filesystem delete,fs.rm,"targetPath, { force: true }",test,test,candidate,unreviewed,9e6e0ffa750c5d23addbca0667ad5ea4c6443348b9c60f0fa971e7db2c53df11
S000108,"apps/cli/src/commands/schedule/import-export.ts",97,apps/cli,"writeFile",filesystem write,fs.writeFile,"resolvedPath, serialized, ""utf8""",production,non-test,candidate,unreviewed,29a98dafe0642866e1439011e296ad86e33b73903c22a8a939b9ffb56de573ee
S000109,"apps/cli/src/commands/skill.ts",130,apps/cli,"spawn",process execution,child_process.spawn,"""npx"", args, options",production,non-test,candidate,unreviewed,918b43541c55715540b15f70d8f3f35c1bf242f022b45280dc673b4886b88fb2
S000110,"apps/cli/src/commands/update.test.ts",26,apps/cli,"writeFile",filesystem write,fs.writeFile,"path, """"",test,test,candidate,unreviewed,0e67bd391a4544871574c4c89e7ad320f99976c1280c31686b06a789a6551380
S000111,"apps/cli/src/commands/update.test.ts",76,apps/cli,"rm",filesystem delete,fs.rm,"dir, { recursive: true, force: true }",test,test,candidate,unreviewed,0e67bd391a4544871574c4c89e7ad320f99976c1280c31686b06a789a6551380
S000112,"apps/cli/src/commands/update.test.ts",171,apps/cli,"rm",filesystem delete,fs.rm,"dir, { recursive: true, force: true }",test,test,candidate,unreviewed,0e67bd391a4544871574c4c89e7ad320f99976c1280c31686b06a789a6551380
S000113,"apps/cli/src/commands/update.test.ts",177,apps/cli,"writeFile",filesystem write,fs.writeFile,"settingsPath, JSON.stringify({ autoUpdateEnabled: false }",test,test,candidate,unreviewed,0e67bd391a4544871574c4c89e7ad320f99976c1280c31686b06a789a6551380
S000114,"apps/cli/src/commands/update.test.ts",192,apps/cli,"writeFile",filesystem write,fs.writeFile,"settingsPath, JSON.stringify({ autoUpdateEnabled: false }",test,test,candidate,unreviewed,0e67bd391a4544871574c4c89e7ad320f99976c1280c31686b06a789a6551380
S000115,"apps/cli/src/commands/update.ts",215,apps/cli,"spawn",process execution,child_process.spawn,"",production,non-test,candidate,unreviewed,a595c4a1e07d6f7dd124e89ce1fadd8469e36c8d819f258854d212d2e6811db7
S000116,"apps/cli/src/commands/update.ts",376,apps/cli,"spawn",process execution,child_process.spawn,"",production,non-test,candidate,unreviewed,a595c4a1e07d6f7dd124e89ce1fadd8469e36c8d819f258854d212d2e6811db7
S000117,"apps/cli/src/connectors/adapters/discord.test.ts",593,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,a805d08215cd17b39bef74f9fa7906e63becca81cc9e0933db587bc6d24a16dd
S000118,"apps/cli/src/connectors/adapters/telegram.test.ts",33,apps/cli,"rm",filesystem delete,fs.rm,"dir, { recursive: true, force: true }",test,test,candidate,unreviewed,83be9bdd70367f5a703db92670a8185ef8b9e1a6521399373f8cb1275a843841
S000119,"apps/cli/src/connectors/adapters/telegram.test.ts",160,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,83be9bdd70367f5a703db92670a8185ef8b9e1a6521399373f8cb1275a843841
